Sample,RMSE,MAE,DELTA1
249523,0.0,0.0,1.0
221798,0.0,0.0,1.0
138624,0.0,0.0,1.0
55450,0.0184983449546967,0.004593375793642075,0.9999144673347473
27725,0.05310464802776401,0.02376568554615197,0.9990503191947937
13862,0.08693543552701925,0.04565523182915346,0.9969742298126221
5545,0.1323670551563487,0.0752125623445128,0.9921632409095764
2772,0.16710302050078368,0.09762135073705089,0.9869712591171265
1386,0.20219096670245387,0.12014222904846118,0.9804075360298157
554,0.2509125660488834,0.15224280980108765,0.9692878723144531
