Sample,RMSE,MAE,DELTA1
249523,0.0,0.0,1.0
221798,0.0,0.0,1.0
138624,0.0,0.0,1.0
55450,0.02015823403948549,0.004983177726159252,0.9998921751976013
27725,0.05687889865780466,0.025298271054095992,0.9988569617271423
13862,0.09185518520923101,0.047808067105745713,0.9965152144432068
5545,0.13810085259811872,0.0772673105240671,0.9912552833557129
2772,0.1735447489675157,0.09919888029600049,0.9857658743858337
1386,0.20959234166933288,0.12090123387616344,0.979015052318573
554,0.2590711296971817,0.15092706248145216,0.9684419631958008
